category,share_pct_2026,usd_per_month_2026,usd_per_year_2026,annual_change_pct,floor_pct,rationale
Food (processed),22.5,220.5,2646.0,-1.0,40,Vertical farms + automated logistics + lab meat. BLS food avg ~+2%/yr offset by ~3%/yr automation.
Food (fresh),7.5,73.5,882.0,1.0,60,"Land-bound, slower automation. Net mild inflation continues."
Energy & utilities,10.0,98.0,1176.0,-5.0,15,"Solar 20%/doubling, batteries 18-35%/doubling Wright curves. Aggressive deflation."
Transport,10.0,98.0,1176.0,-2.5,30,EV cost decline + autonomous removes driver. Vehicle still has materials cost.
Healthcare,6.25,61.25,735.0,0.5,60,AI offsets historical +4.5%/yr but aging demographics keep mildly positive.
Education,3.75,36.75,441.0,-1.0,30,AI tutors deflate content delivery; networking/credentialing value sticky.
Services (hospitality),7.5,73.5,882.0,2.0,90,Slowest to automate — physical presence + emotional labour. Premium prices.
Apparel & manufactured,8.75,85.75,1029.0,-3.0,30,BLS apparel already deflating (-0.5%/yr early 2026). AI accelerates.
Digital/electronics,5.0,49.0,588.0,-10.0,5,BLS computers -16%/yr historical. Approaches near-zero marginal cost.
Housing — STRUCTURE,18.75,183.75,2205.0,-1.5,40,"Construction automatable (3D printing, modular, robotic). Materials cost remains. LAND deferred."
